id,u,i,label
0,1,401,0
1,53,112,0
2,9,969,0
3,9,270,0
4,53,118,0
5,118,270,0
6,118,470,0
7,1,118,0
8,73,167,0
9,1,270,0
10,270,470,0
11,112,270,0
12,53,270,0
13,36,473,0
14,36,112,0
15,36,53,0
16,167,438,0
17,9,167,0
18,9,98,0
19,36,1631,0
20,112,1126,0
21,1,9,0
22,1,1126,0
23,3,112,0
24,1,167,0
25,1,1631,0
26,0,112,0
27,120,504,0
28,0,1,0
29,1,470,0
30,3,98,0
31,504,3602,0
32,90,296,0
33,90,3602,0
34,3,90,0
35,73,311,0
36,3,9,0
37,98,237,0
38,98,2472,0
39,39,120,0
40,118,120,0
41,3,120,0
42,90,118,0
43,30,36,0
44,53,3578,0
45,36,3578,0
46,1,709,0
47,3,118,0
48,3,438,0
49,90,624,0
50,0,624,0
51,0,743,0
52,36,379,0
53,39,1400,0
54,3,1208,0
55,44,916,0
56,73,1126,0
57,292,3578,0
58,3,311,0
59,1,511,0
60,22,39,0
61,22,511,0
62,73,624,0
63,1,916,0
64,36,39,0
65,438,624,0
66,44,250,0
67,624,3730,0
68,39,43,0
69,39,2890,0
70,39,743,0
71,711,743,0
72,90,167,0
73,248,743,0
74,3,500,0
75,401,1114,0
76,624,1468,0
77,401,743,0
78,1,435,0
79,435,767,0
80,22,767,0
81,39,988,0
82,36,90,0
83,22,1086,0
84,916,1114,0
85,3,531,0
86,39,916,0
87,39,378,0
88,3,73,0
89,3,445,0
90,44,388,0
91,22,388,0
92,125,388,0
93,292,388,0
94,90,531,0
95,112,768,0
96,90,768,0
97,3,767,0
98,1,767,0
99,125,292,0
100,43,1086,0
101,22,709,0
102,73,1086,0
103,1,1208,0
104,1,53,0
105,1,73,0
106,292,438,0
107,1,292,0
108,292,401,0
109,3,1908,0
110,73,292,0
111,90,292,0
112,112,292,0
113,30,378,0
114,39,44,0
115,130,144,0
116,73,130,0
117,130,560,0
118,120,511,0
119,53,147,0
120,147,438,0
121,248,401,0
122,147,269,0
123,1,445,0
124,147,767,0
125,3,2102,0
126,44,767,0
127,39,2102,0
128,445,767,0
129,3,22,0
130,3,236,0
131,236,269,0
132,147,1408,0
133,147,511,0
134,118,147,0
135,378,1208,0
136,147,465,0
137,378,465,0
138,1,378,0
139,53,465,0
140,222,378,0
141,269,378,0
142,108,147,0
143,147,1400,0
144,1,2697,0
145,39,1225,0
146,53,459,0
147,22,1918,0
148,39,1918,0
149,147,839,0
150,53,378,0
151,147,3505,0
152,130,147,0
153,378,1229,0
154,1400,3505,0
155,108,378,0
156,151,1627,0
157,151,511,0
158,43,710,0
159,39,1599,0
160,3,709,0
161,147,151,0
162,22,934,0
163,39,147,0
164,1,768,0
165,3,1269,0
166,118,768,0
167,459,768,0
168,459,511,0
169,151,768,0
170,43,147,0
171,39,850,0
172,147,1599,0
173,53,151,0
174,1,3,0
175,222,250,0
176,530,3505,0
177,53,530,0
178,39,233,0
179,43,378,0
180,105,296,0
181,530,839,0
182,22,2437,0
183,44,530,0
184,130,530,0
185,147,1912,0
186,39,1076,0
187,22,43,0
188,296,1211,0
189,3,530,0
190,108,1269,0
191,1269,1920,0
192,151,625,0
193,107,108,0
194,1,1400,0
195,1400,3730,0
196,22,1225,0
197,53,839,0
198,530,773,0
199,108,222,0
200,1,311,0
201,144,1098,0
202,138,147,0
203,144,222,0
204,108,1098,0
205,147,1098,0
206,3,511,0
207,44,465,0
208,3,192,0
209,3,250,0
210,3,249,0
211,3,1907,0
212,108,511,0
213,43,1075,0
214,3,1815,0
215,43,130,0
216,43,1130,0
217,164,222,0
218,43,105,0
219,22,138,0
220,3,378,0
221,22,107,0
222,3,2438,0
223,22,1600,0
224,107,1600,0
225,0,3,0
226,22,1397,0
227,22,98,0
228,2439,3730,0
229,22,1130,0
230,22,1077,0
231,22,83,0
232,3,839,0
233,83,147,0
234,3,467,0
235,3,3728,0
236,605,1600,0
237,15,767,0
238,465,653,0
239,22,2440,0
240,22,465,0
241,22,1400,0
242,418,605,0
243,467,3730,0
244,3,840,0
245,3,1400,0
246,3,2441,0
247,22,152,0
248,222,465,0
249,3,418,0
250,151,152,0
251,3,248,0
252,3,561,0
253,43,151,0
254,9,467,0
255,15,1909,0
256,233,1909,0
257,269,435,0
258,22,1910,0
259,3,841,0
260,147,841,0
261,15,841,0
262,151,3730,0
263,98,841,0
264,22,841,0
265,152,841,0
266,222,710,0
267,144,297,0
268,62,222,0
269,0,378,0
270,15,710,0
271,297,1209,0
272,388,1076,0
273,144,3505,0
274,90,151,0
275,98,561,0
276,22,907,0
277,22,1079,0
278,352,378,0
279,1211,2443,0
280,352,1211,0
281,1,985,0
282,53,90,0
283,1,1602,0
284,22,499,0
285,98,352,0
286,1,468,0
287,1,147,0
288,1,22,0
289,15,1211,0
290,1,98,0
291,152,1602,0
292,22,400,0
293,296,1602,0
294,22,297,0
295,22,137,0
296,22,1401,0
297,1077,1907,0
298,1,43,0
299,98,105,0
300,418,1213,0
301,1,249,0
302,3,1601,0
303,418,986,0
304,22,1399,0
305,15,43,0
306,3,310,0
307,3,364,0
308,151,987,0
309,90,437,0
310,44,437,0
311,15,2444,0
312,15,1913,0
313,22,53,0
314,53,144,0
315,1399,3730,0
316,1,44,0
317,90,222,0
318,15,144,0
319,353,1401,0
320,22,655,0
321,418,770,0
322,3,379,0
323,53,292,0
324,3,39,0
325,3,53,0
326,3,3730,0
327,53,3730,0
328,22,843,0
329,1,199,0
330,250,3728,0
331,22,606,0
332,709,768,0
333,15,709,0
334,1,2445,0
335,0,845,0
336,151,250,0
337,250,353,0
338,15,606,0
339,418,530,0
340,199,606,0
341,199,846,0
342,0,1605,0
343,62,223,0
344,22,846,0
345,22,502,0
346,118,379,0
347,22,436,0
348,711,3451,0
349,22,2446,0
350,22,500,0
351,43,500,0
352,1,986,0
353,15,502,0
354,148,418,0
355,199,502,0
356,98,502,0
357,1,502,0
358,22,2442,0
359,22,128,0
360,843,850,0
361,3,222,0
362,112,1606,0
363,44,352,0
364,1606,1915,0
365,1,503,0
366,1,3579,0
367,3,3579,0
368,15,770,0
369,73,1604,0
370,606,768,0
371,840,908,0
372,130,606,0
373,148,710,0
374,62,654,0
375,39,236,0
376,151,235,0
377,15,236,0
378,236,655,0
379,112,501,0
380,22,769,0
381,0,2447,0
382,22,842,0
383,62,844,0
384,654,772,0
385,22,235,0
386,22,772,0
387,15,137,0
388,105,310,0
389,105,654,0
390,3,44,0
391,3,710,0
392,1,531,0
393,1,1920,0
394,223,233,0
395,73,1401,0
396,365,654,0
397,22,503,0
398,22,166,0
399,3,436,0
400,1,1921,0
401,22,292,0
402,3,772,0
403,118,352,0
404,149,1080,0
405,148,236,0
406,1,236,0
407,236,1218,0
408,418,654,0
409,22,1081,0
410,15,654,0
411,1,208,0
412,108,710,0
413,22,712,0
414,44,654,0
415,352,531,0
416,166,236,0
417,15,469,0
418,71,2448,0
419,208,655,0
420,3,770,0
421,418,989,0
422,214,321,0
423,98,418,0
424,148,2450,0
425,3,847,0
426,15,1916,0
427,15,1082,0
428,128,769,0
429,108,499,0
430,144,1610,0
431,128,655,0
432,199,2449,0
433,22,118,0
434,43,128,0
435,62,2452,0
436,105,499,0
437,3,2453,0
438,352,504,0
439,15,269,0
440,151,907,0
441,43,1077,0
442,128,499,0
443,15,1609,0
444,36,989,0
445,1,419,0
446,44,223,0
447,844,990,0
448,137,435,0
449,438,1401,0
450,168,208,0
451,1610,3728,0
452,44,992,0
453,20,98,0
454,22,1612,0
455,3,771,0
456,15,1921,0
457,504,992,0
458,144,2455,0
459,440,1612,0
460,98,128,0
461,98,2454,0
462,3,144,0
463,3,365,0
464,167,771,0
465,118,321,0
466,418,1926,0
467,1,773,0
468,989,2457,0
469,989,2456,0
470,108,989,0
471,22,844,0
472,3,235,0
473,128,208,0
474,208,3728,0
475,83,98,0
476,233,401,0
477,98,208,0
478,71,98,0
479,22,468,0
480,15,418,0
481,128,1081,0
482,989,3760,0
483,562,3728,0
484,105,271,0
485,22,563,0
486,15,3728,0
487,20,234,0
488,1,563,0
489,1,2458,0
490,166,418,0
491,128,1084,0
492,296,1914,0
493,234,3730,0
494,3,1084,0
495,118,234,0
496,296,3615,0
497,3,223,0
498,39,1213,0
499,563,654,0
500,15,22,0
501,208,1086,0
502,128,1218,0
503,3,400,0
504,3,2464,0
505,20,3730,0
506,3,1086,0
507,208,1927,0
508,563,3730,0
509,62,1221,0
510,44,1927,0
511,15,533,0
512,44,1403,0
513,223,2463,0
514,847,3730,0
515,15,3730,0
516,321,656,0
517,3,352,0
518,22,657,0
519,297,654,0
520,714,3730,0
521,296,1220,0
522,98,562,0
523,437,438,0
524,144,1914,0
525,3,419,0
526,128,1214,0
527,15,564,0
528,98,658,0
529,98,3452,0
530,533,2459,0
531,208,564,0
532,564,1087,0
533,352,1077,0
534,128,1607,0
535,3,30,0
536,15,1924,0
537,251,1087,0
538,208,2465,0
539,352,437,0
540,3,36,0
541,223,2461,0
542,128,1608,0
543,174,235,0
544,0,502,0
545,128,214,0
546,435,3615,0
547,1221,3728,0
548,22,439,0
549,62,564,0
550,15,297,0
551,1610,3730,0
552,128,501,0
553,41,174,0
554,144,2468,0
555,15,1221,0
556,236,847,0
557,41,108,0
558,3,2467,0
559,41,44,0
560,3,3760,0
561,15,1089,0
562,3,15,0
563,36,1925,0
564,39,1223,0
565,1,20,0
566,234,504,0
567,1,1408,0
568,144,149,0
569,3,2466,0
570,128,442,0
571,22,442,0
572,223,2470,0
573,3,269,0
574,20,41,0
575,15,36,0
576,1082,1926,0
577,128,606,0
578,128,251,0
579,1,1221,0
580,22,771,0
581,352,442,0
582,22,1219,0
583,15,1408,0
584,108,1929,0
585,847,996,0
586,118,128,0
587,167,995,0
588,1,1089,0
589,223,2471,0
590,400,1610,0
591,223,3730,0
592,1089,2469,0
593,15,1090,0
594,128,168,0
595,39,716,0
596,39,769,0
597,39,128,0
598,90,440,0
599,419,1610,0
600,151,167,0
601,15,99,0
602,3,1090,0
603,128,716,0
604,3,167,0
605,3,465,0
606,98,3730,0
607,107,354,0
608,22,847,0
609,15,249,0
610,15,1092,0
611,533,2473,0
612,716,1412,0
613,62,717,0
614,251,1929,0
615,112,352,0
616,128,1219,0
617,352,995,0
618,715,1605,0
619,271,2475,0
620,0,993,0
621,39,605,0
622,128,321,0
623,249,714,0
624,292,472,0
625,534,3452,0
626,269,471,0
627,471,2479,0
628,565,910,0
629,269,1931,0
630,251,381,0
631,36,311,0
632,3,1087,0
633,562,1412,0
634,128,1227,0
635,535,3452,0
636,506,608,0
637,30,565,0
638,310,1095,0
639,41,839,0
640,41,608,0
641,1082,1094,0
642,250,2481,0
643,715,1219,0
644,36,560,0
645,105,251,0
646,716,2477,0
647,200,505,0
648,3,534,0
649,3,138,0
650,310,1088,0
651,235,1223,0
652,608,1088,0
653,200,534,0
654,222,909,0
655,222,1412,0
656,223,534,0
657,235,1213,0
658,62,1082,0
659,15,3452,0
660,1225,2476,0
661,137,565,0
662,1223,3452,0
663,506,534,0
664,3,380,0
665,128,997,0
666,128,1226,0
667,250,380,0
668,465,657,0
669,421,534,0
670,128,1415,0
671,41,1617,0
672,1,237,0
673,83,774,0
674,3,322,0
675,53,83,0
676,128,1920,0
677,83,380,0
678,535,3549,0
679,352,1915,0
680,3,1610,0
681,774,997,0
682,3,3747,0
683,506,565,0
684,44,532,0
685,44,1932,0
686,1,354,0
687,83,1618,0
688,128,1215,0
689,1,381,0
690,83,3747,0
691,1913,3505,0
692,563,1617,0
693,43,1089,0
694,62,1094,0
695,149,1097,0
696,440,774,0
697,472,997,0
698,43,322,0
699,128,193,0
700,605,3747,0
701,3,1229,0
702,657,3747,0
703,437,504,0
704,83,137,0
705,44,151,0
706,22,1415,0
707,128,439,0
708,214,1093,0
709,528,991,0
710,608,1092,0
711,15,992,0
712,43,441,0
713,715,3549,0
714,338,2483,0
715,401,437,0
716,506,3549,0
717,3,108,0
718,15,41,0
719,3,2484,0
720,83,1082,0
721,530,1094,0
722,128,1613,0
723,535,991,0
724,62,2482,0
725,174,3452,0
726,174,292,0
727,292,560,0
728,0,222,0
729,0,2471,0
730,991,1097,0
731,1097,3549,0
732,1929,3747,0
733,107,1098,0
734,1934,3747,0
735,128,990,0
736,128,533,0
737,296,1937,0
738,148,910,0
739,148,292,0
740,250,1916,0
741,148,1093,0
742,41,991,0
743,3,149,0
744,991,1094,0
745,128,1405,0
746,1929,1934,0
747,1620,2486,0
748,653,1917,0
749,128,271,0
750,128,988,0
751,128,3760,0
752,992,1419,0
