id,u,i,label
0,1,5,0
1,4,5,0
2,0,11,0
3,2,3,0
4,10,12,0
5,9,10,0
6,4,6,0
7,1,16,0
8,1,15,0
9,0,16,0
10,9,16,0
11,7,16,0
12,2,16,0
13,2,13,0
14,13,17,0
15,0,9,0
16,5,9,0
17,7,9,0
18,9,18,0
19,1,9,0
20,2,9,0
21,3,19,0
22,0,4,0
23,3,5,0
24,1,3,0
25,13,20,0
26,10,13,0
27,10,21,0
28,13,15,0
29,3,22,0
30,5,23,0
31,0,10,0
32,6,25,0
33,0,23,0
34,0,25,0
35,10,25,0
36,5,6,0
37,0,13,0
38,0,22,0
39,5,26,0
40,27,28,0
41,0,26,0
42,0,7,0
43,6,21,0
44,0,15,0
45,28,31,0
46,29,32,0
47,6,29,0
48,29,31,0
49,14,17,0
50,27,33,0
51,0,34,0
52,6,10,0
53,21,35,0
54,21,36,0
55,32,37,0
56,32,38,0
57,0,38,0
58,2,6,0
59,27,30,0
60,16,27,0
61,6,27,0
62,6,37,0
63,6,39,0
64,3,41,0
65,16,29,0
66,3,43,0
67,15,43,0
68,1,43,0
69,26,46,0
70,0,40,0
71,3,47,0
72,6,16,0
73,6,15,0
74,26,49,0
75,26,50,0
76,29,49,0
77,0,51,0
78,6,20,0
79,3,52,0
80,0,53,0
81,30,54,0
82,45,48,0
83,6,55,0
84,6,14,0
85,17,23,0
86,15,17,0
87,43,56,0
88,0,57,0
89,30,42,0
90,42,57,0
91,17,49,0
92,26,58,0
93,3,30,0
94,0,48,0
95,20,49,0
96,45,59,0
97,13,60,0
98,44,49,0
99,30,61,0
100,30,75,0
101,30,62,0
102,3,63,0
103,49,60,0
104,30,65,0
105,42,63,0
106,6,65,0
107,45,67,0
108,30,50,0
109,50,68,0
110,13,29,0
111,50,69,0
112,11,70,0
113,49,71,0
114,6,64,0
115,0,60,0
116,11,50,0
117,0,73,0
118,38,44,0
119,72,73,0
120,73,74,0
121,18,59,0
122,42,72,0
123,3,29,0
124,30,76,0
125,69,77,0
126,60,78,0
127,42,79,0
128,48,70,0
129,69,78,0
130,6,80,0
131,30,81,0
132,30,48,0
133,6,17,0
134,6,82,0
135,45,83,0
136,56,83,0
137,83,86,0
138,42,83,0
139,29,80,0
140,5,85,0
141,29,85,0
